ID,Month,fy,mode,Region_State,bus
1,Feb-19,2018-2019,THERMAL,All India,89.30048
2,Feb-19,2018-2019,NUCLEAR,All India,3.17291
3,Feb-19,2018-2019,HYDRO,All India,8.43584
4,Feb-19,2018-2019,BHUTAN IMP_Hydro,All India,0.0682
5,Feb-19,2018-2019,RENEWABLE,All India,11.24518
10,Mar-19,2018-2019,RENEWABLE,All India,11.30045
9,Mar-19,2018-2019,BHUTAN IMP_Hydro,All India,0.10638
8,Mar-19,2018-2019,HYDRO,All India,9.08989
7,Mar-19,2018-2019,NUCLEAR,All India,4.05431
6,Mar-19,2018-2019,THERMAL,All India,82.81242
15,Apr-19,2019-2020,RENEWABLE,All India,10.63382
14,Apr-19,2019-2020,BHUTAN IMP_Hydro,All India,0.258
13,Apr-19,2019-2020,HYDRO,All India,10.12142
12,Apr-19,2019-2020,NUCLEAR,All India,3.86008
11,Apr-19,2019-2020,THERMAL,All India,66.80572
16,Jul-19,2019-2020,THERMAL,All India,87.37192
17,Jul-19,2019-2020,NUCLEAR,All India,4.38228
18,Jul-19,2019-2020,HYDRO,All India,15.77735
19,Jul-19,2019-2020,BHUTAN IMP,All India,0.876
23,Aug-19,2019-2020,BHUTAN IMP,All India,1.1874
22,Aug-19,2019-2020,HYDRO,All India,19.92838
21,Aug-19,2019-2020,NUCLEAR,All India,4.30232
20,Aug-19,2019-2020,THERMAL,All India,80.78213
24,Sep-19,2019-2020,THERMAL,All India,78.98025
25,Sep-19,2019-2020,NUCLEAR,All India,4.22023
26,Sep-19,2019-2020,HYDRO,All India,20.79072
27,Sep-19,2019-2020,BHUTAN IMP,All India,1.2033
31,Oct-19,2019-2020,BHUTAN IMP,All India,0.8453
30,Oct-19,2019-2020,HYDRO,All India,14.63631
29,Oct-19,2019-2020,NUCLEAR,All India,4.31243
28,Oct-19,2019-2020,THERMAL,All India,79.11494
32,Nov-19,2019-2020,THERMAL,All India,79.53301
33,Nov-19,2019-2020,NUCLEAR,All India,3.79235
34,Nov-19,2019-2020,HYDRO,All India,10.02093
35,Nov-19,2019-2020,BHUTAN IMP,All India,0.3196
39,Dec-19,2019-2020,BHUTAN IMP,All India,0.1655
38,Dec-19,2019-2020,HYDRO,All India,8.92689
37,Dec-19,2019-2020,NUCLEAR,All India,3.67659
36,Dec-19,2019-2020,THERMAL,All India,86.32915
40,Jan-20,2019-2020,THERMAL,All India,90.8031
41,Jan-20,2019-2020,NUCLEAR,All India,3.43739
42,Jan-20,2019-2020,HYDRO,All India,8.66507
43,Jan-20,2019-2020,BHUTAN IMP,All India,0.1054
47,Feb-20,2019-2020,BHUTAN IMP,All India,0.0682
46,Feb-20,2019-2020,HYDRO,All India,8.43584
45,Feb-20,2019-2020,NUCLEAR,All India,3.17291
44,Feb-20,2019-2020,THERMAL,All India,89.30048
48,Mar-20,2019-2020,THERMAL,All India,82.81242
49,Mar-20,2019-2020,NUCLEAR,All India,4.05431
50,Mar-20,2019-2020,HYDRO,All India,9.08989
51,Mar-20,2019-2020,BHUTAN IMP,All India,0.10638
55,Apr-20,2020-2021,BHUTAN IMP,All India,0.258
54,Apr-20,2020-2021,HYDRO,All India,10.12142
53,Apr-20,2020-2021,NUCLEAR,All India,3.86008
52,Apr-20,2020-2021,THERMAL,All India,66.80572
59,May-20,2020-2021,BHUTAN IMP,All India,0.784
58,May-20,2020-2021,HYDRO,All India,14.02613
57,May-20,2020-2021,NUCLEAR,All India,3.79754
56,May-20,2020-2021,THERMAL,All India,77.89375
60,Jun-20,2020-2021,THERMAL,All India,78.14717
61,Jun-20,2020-2021,NUCLEAR,All India,3.76473
62,Jun-20,2020-2021,HYDRO,All India,17.01582
63,Jun-20,2020-2021,BHUTAN IMP,All India,1.2145
67,Jul-20,2020-2021,BHUTAN IMP,All India,1.5406
66,Jul-20,2020-2021,HYDRO,All India,17.9224
65,Jul-20,2020-2021,NUCLEAR,All India,3.35852
64,Jul-20,2020-2021,THERMAL,All India,85.44727
68,Aug-20,2020-2021,THERMAL,All India,79.0337
69,Aug-20,2020-2021,NUCLEAR,All India,3.59073
70,Aug-20,2020-2021,HYDRO,All India,18.94988
71,Aug-20,2020-2021,BHUTAN IMP,All India,1.5606
75,Sep-20,2020-2021,BHUTAN IMP,All India,1.4518
74,Sep-20,2020-2021,HYDRO,All India,18.89044
73,Sep-20,2020-2021,NUCLEAR,All India,3.88197
72,Sep-20,2020-2021,THERMAL,All India,85.98774
76,Oct-20,2020-2021,THERMAL,All India,89.65552
77,Oct-20,2020-2021,NUCLEAR,All India,3.96913
78,Oct-20,2020-2021,HYDRO,All India,13.14324
79,Oct-20,2020-2021,BHUTAN IMP,All India,0.9607
83,Nov-20,2020-2021,BHUTAN IMP,All India,0.4131
82,Nov-20,2020-2021,HYDRO,All India,8.41667
81,Nov-20,2020-2021,NUCLEAR,All India,3.83099
80,Nov-20,2020-2021,THERMAL,All India,82.53546
84,Dec-20,2020-2021,THERMAL,All India,91.41103
85,Dec-20,2020-2021,NUCLEAR,All India,3.89484
86,Dec-20,2020-2021,HYDRO,All India,8.15893
87,Dec-20,2020-2021,BHUTAN IMP,All India,0.2235
91,Jan-21,2020-2021,BHUTAN IMP,All India,0.135
90,Jan-21,2020-2021,HYDRO,All India,7.96344
89,Jan-21,2020-2021,NUCLEAR,All India,3.2145
88,Jan-21,2020-2021,THERMAL,All India,97.19182
92,Feb-21,2020-2021,THERMAL,All India,91.29931
93,Feb-21,2020-2021,NUCLEAR,All India,2.70482
94,Feb-21,2020-2021,HYDRO,All India,7.31626
95,Feb-21,2020-2021,BHUTAN IMP,All India,0.095
99,Mar-21,2020-2021,BHUTAN IMP,All India,0.1287
98,Mar-21,2020-2021,HYDRO,All India,8.37489
97,Mar-21,2020-2021,NUCLEAR,All India,3.16123
96,Mar-21,2020-2021,THERMAL,All India,107.10505
100,Apr-21,2021-2022,THERMAL,All India,103.69741
101,Apr-21,2021-2022,NUCLEAR,All India,3.36372
102,Apr-21,2021-2022,HYDRO,All India,8.26557
103,Apr-21,2021-2022,BHUTAN IMP,All India,0.1466
107,May-21,2021-2022,BHUTAN IMP,All India,0.5737
106,May-21,2021-2022,HYDRO,All India,11.75214
105,May-21,2021-2022,NUCLEAR,All India,4.00018
104,May-21,2021-2022,THERMAL,All India,87.50663
108,Jun-21,2021-2022,THERMAL,All India,85.43776
109,Jun-21,2021-2022,NUCLEAR,All India,3.89212
110,Jun-21,2021-2022,HYDRO,All India,16.00832
111,Jun-21,2021-2022,BHUTAN IMP,All India,1.1214
115,Jul-21,2021-2022,BHUTAN IMP,All India,1.197
114,Jul-21,2021-2022,HYDRO,All India,18.74528
113,Jul-21,2021-2022,NUCLEAR,All India,3.61318
112,Jul-21,2021-2022,THERMAL,All India,92.4267
119,Aug-21,2021-2022,BHUTAN IMP,All India,1.3358
118,Aug-21,2021-2022,HYDRO,All India,20.26991
117,Aug-21,2021-2022,NUCLEAR,All India,3.13988
116,Aug-21,2021-2022,THERMAL,All India,96.23197
120,Sep-21,2021-2022,THERMAL,All India,85.31901
121,Sep-21,2021-2022,NUCLEAR,All India,3.89696
122,Sep-21,2021-2022,HYDRO,All India,17.76529
123,Sep-21,2021-2022,BHUTAN IMP,All India,1.26
127,Oct-21,2021-2022,BHUTAN IMP,All India,0.9736
126,Oct-21,2021-2022,HYDRO,All India,15.53461
125,Oct-21,2021-2022,NUCLEAR,All India,4.41741
124,Oct-21,2021-2022,THERMAL,All India,90.10568
128,Nov-21,2021-2022,THERMAL,All India,82.70887
129,Nov-21,2021-2022,NUCLEAR,All India,4.06263
130,Nov-21,2021-2022,HYDRO,All India,9.70573
131,Nov-21,2021-2022,BHUTAN IMP,All India,0.4645
135,Dec-21,2021-2022,BHUTAN IMP,All India,0.1791
134,Dec-21,2021-2022,HYDRO,All India,8.06618
133,Dec-21,2021-2022,NUCLEAR,All India,4.45132
132,Dec-21,2021-2022,THERMAL,All India,93.29551
136,Jan-22,2021-2022,THERMAL,All India,96.29228
137,Jan-22,2021-2022,NUCLEAR,All India,4.0567
138,Jan-22,2021-2022,HYDRO,All India,7.49703
139,Jan-22,2021-2022,BHUTAN IMP,All India,0.0401
143,Feb-22,2021-2022,BHUTAN IMP,All India,0.0321
142,Feb-22,2021-2022,HYDRO,All India,7.43341
141,Feb-22,2021-2022,NUCLEAR,All India,3.81139
140,Feb-22,2021-2022,THERMAL,All India,92.93151
144,Mar-22,2021-2022,THERMAL,All India,108.76115
145,Mar-22,2021-2022,NUCLEAR,All India,4.40657
146,Mar-22,2021-2022,HYDRO,All India,10.58386
147,Mar-22,2021-2022,BHUTAN IMP,All India,0.1693
151,Apr-22,2022-2023,BHUTAN IMP,All India,0.3861
150,Apr-22,2022-2023,HYDRO,All India,11.54096
149,Apr-22,2022-2023,NUCLEAR,All India,3.52119
148,Apr-22,2022-2023,THERMAL,All India,111.58283
152,May-22,2022-2023,THERMAL,All India,108.41617
153,May-22,2022-2023,NUCLEAR,All India,3.52472
154,May-22,2022-2023,HYDRO,All India,12.88091
155,May-22,2022-2023,BHUTAN IMP,All India,0.3968
159,Jun-22,2022-2023,BHUTAN IMP,All India,0.9899
158,Jun-22,2022-2023,HYDRO,All India,13.94612
157,Jun-22,2022-2023,NUCLEAR,All India,3.86738
156,Jun-22,2022-2023,THERMAL,All India,105.61817
160,Jul-22,2022-2023,THERMAL,All India,94.35588
161,Jul-22,2022-2023,NUCLEAR,All India,4.01693
162,Jul-22,2022-2023,HYDRO,All India,19.46511
163,Jul-22,2022-2023,BHUTAN IMP,All India,1.0993
167,Aug-22,2022-2023,BHUTAN IMP,All India,1.2931
166,Aug-22,2022-2023,HYDRO,All India,23.40411
165,Aug-22,2022-2023,NUCLEAR,All India,3.58677
164,Aug-22,2022-2023,THERMAL,All India,93.23
168,Sep-22,2022-2023,THERMAL,All India,93.29594
169,Sep-22,2022-2023,NUCLEAR,All India,3.41252
170,Sep-22,2022-2023,HYDRO,All India,22.01656
171,Sep-22,2022-2023,BHUTAN IMP,All India,1.2705
175,Oct-22,2022-2023,BHUTAN IMP,All India,0.9176
174,Oct-22,2022-2023,HYDRO,All India,16.17867
173,Oct-22,2022-2023,NUCLEAR,All India,4.21926
172,Oct-22,2022-2023,THERMAL,All India,88.18558
179,Nov-22,2022-2023,BHUTAN IMP,All India,0.2311
178,Nov-22,2022-2023,HYDRO,All India,9.88041
177,Nov-22,2022-2023,NUCLEAR,All India,3.86967
176,Nov-22,2022-2023,THERMAL,All India,94.46284
180,Dec-22,2022-2023,THERMAL,All India,102.94225
181,Dec-22,2022-2023,NUCLEAR,All India,3.90158
182,Dec-22,2022-2023,HYDRO,All India,8.59076
183,Dec-22,2022-2023,BHUTAN IMP,All India,0.0688
187,Jan-23,2022-2023,BHUTAN IMP,All India,0.0451
186,Jan-23,2022-2023,HYDRO,All India,8.06315
185,Jan-23,2022-2023,NUCLEAR,All India,4.11892
184,Jan-23,2022-2023,THERMAL,All India,106.39371
188,Feb-23,2022-2023,THERMAL,All India,99.36763
189,Feb-23,2022-2023,NUCLEAR,All India,3.77436
190,Feb-23,2022-2023,HYDRO,All India,8.35846
191,Feb-23,2022-2023,BHUTAN IMP,All India,0.0226
195,Mar-23,2022-2023,BHUTAN IMP,All India,0.0215
194,Mar-23,2022-2023,HYDRO,All India,7.77355
193,Mar-23,2022-2023,NUCLEAR,All India,4.04779
192,Mar-23,2022-2023,THERMAL,All India,108.35967
196,Apr-23,2023-2024,THERMAL,All India,111.57348
197,Apr-23,2023-2024,NUCLEAR,All India,3.51245
198,Apr-23,2023-2024,HYDRO,All India,8.72897
199,Apr-23,2023-2024,BHUTAN IMP,All India,0.0582
203,May-23,2023-2024,BHUTAN IMP,All India,0.1318
202,May-23,2023-2024,HYDRO,All India,11.45868
201,May-23,2023-2024,NUCLEAR,All India,3.49591
200,May-23,2023-2024,THERMAL,All India,111.51528
207,Jun-23,2023-2024,BHUTAN IMP,All India,0.6187
206,Jun-23,2023-2024,HYDRO,All India,14.33425
205,Jun-23,2023-2024,NUCLEAR,All India,3.20974
204,Jun-23,2023-2024,THERMAL,All India,109.22004
208,Jul-23,2023-2024,THERMAL,All India,103.17541
209,Jul-23,2023-2024,NUCLEAR,All India,3.95453
210,Jul-23,2023-2024,HYDRO,All India,17.92448
211,Jul-23,2023-2024,BHUTAN IMP,All India,1.2586
215,Aug-23,2023-2024,BHUTAN IMP,All India,1.1988
214,Aug-23,2023-2024,HYDRO,All India,21.95979
213,Aug-23,2023-2024,NUCLEAR,All India,4.37012
212,Aug-23,2023-2024,THERMAL,All India,110.06564
216,Sep-23,2023-2024,THERMAL,All India,108.82055
217,Sep-23,2023-2024,NUCLEAR,All India,4.52577
218,Sep-23,2023-2024,HYDRO,All India,16.32275
219,Sep-23,2023-2024,BHUTAN IMP,All India,0.8694
223,Oct-23,2023-2024,BHUTAN IMP,All India,0.5085
222,Oct-23,2023-2024,HYDRO,All India,11.24045
221,Oct-23,2023-2024,NUCLEAR,All India,4.49354
220,Oct-23,2023-2024,THERMAL,All India,117.25864
224,Nov-23,2023-2024,THERMAL,All India,103.66697
225,Nov-23,2023-2024,NUCLEAR,All India,4.42449
226,Nov-23,2023-2024,HYDRO,All India,6.62129
227,Nov-23,2023-2024,BHUTAN IMP,All India,0.0165
231,Dec-23,2023-2024,BHUTAN IMP,All India,0.0116
230,Dec-23,2023-2024,HYDRO,All India,6.16711
229,Dec-23,2023-2024,NUCLEAR,All India,4.27681
228,Dec-23,2023-2024,THERMAL,All India,105.49125
232,Jan-24,2023-2024,THERMAL,All India,117.48819
233,Jan-24,2023-2024,NUCLEAR,All India,4.15232
234,Jan-24,2023-2024,HYDRO,All India,6.35229
235,Jan-24,2023-2024,BHUTAN IMP,All India,0.0158
